Date,Category,Amount,Description
2020-06-15,Gifts,178.54,Gifts Expense
2020-06-15,Shopping,176.84,Shopping Expense
2020-06-15,Coffee,4.75,Coffee Expense
2020-06-17,Grocery,174.66,Grocery Expense
2020-06-17,Fitness,121.69,Fitness Expense
2020-06-18,Entertainment,25.44,Entertainment Expense
2020-06-18,Gifts,103.55,Gifts Expense
2020-06-18,Entertainment,232.24,Entertainment Expense
2020-06-18,Utilities,195.99,Utilities Expense
2020-06-18,Transportation,36.33,Transportation Expense
2020-06-18,Dining,36.36,Dining Expense
2020-06-21,Beauty,88.58,Beauty Expense
2020-06-21,Coffee,10.27,Coffee Expense
2020-06-22,Books,14.3,Books Expense
2020-06-23,Healthcare,420.03,Healthcare Expense
2020-06-23,Utilities,54.59,Utilities Expense
2020-06-24,Pets,70.03,Pets Expense
2020-06-25,Coffee,13.8,Coffee Expense
2020-06-25,Clothing,229.72,Clothing Expense
2020-06-25,Healthcare,30.69,Healthcare Expense
2020-06-25,Coffee,13.97,Coffee Expense
2020-06-26,Sports,110.9,Sports Expense
2020-06-26,Education,272.88,Education Expense
2020-06-26,Electronics,1544.32,Electronics Expense
2020-06-27,Sports,45.27,Sports Expense
2020-06-28,Beauty,108.05,Beauty Expense
2020-06-29,Pets,14.69,Pets Expense
2020-06-30,Electronics,187.23,Electronics Expense
2020-06-30,Clothing,32.83,Clothing Expense
2020-07-02,Entertainment,76.58,Entertainment Expense
2020-07-02,Beauty,72.77,Beauty Expense
2020-07-02,Grocery,58.93,Grocery Expense
2020-07-03,Books,22.13,Books Expense
2020-07-03,Pets,45.66,Pets Expense
2020-07-04,Pets,53.58,Pets Expense
2020-07-04,Entertainment,68.57,Entertainment Expense
2020-07-06,Transportation,25.38,Transportation Expense
2020-07-08,Sports,141.78,Sports Expense
2020-07-09,Electronics,872.9,Electronics Expense
2020-07-10,Transportation,77.91,Transportation Expense
2020-07-12,Gifts,198.81,Gifts Expense
2020-07-12,Pets,89.61,Pets Expense
2020-07-12,Transportation,11.58,Transportation Expense
2020-07-12,Transportation,90.04,Transportation Expense
2020-07-12,Coffee,8.22,Coffee Expense
2020-07-14,Beauty,28.46,Beauty Expense
2020-07-14,Beauty,63.36,Beauty Expense
2020-07-15,Coffee,4.5,Coffee Expense
2020-07-15,Pets,88.22,Pets Expense
2020-07-16,Coffee,3.33,Coffee Expense
2020-07-17,Food,18.61,Food Expense
2020-07-17,Healthcare,351.12,Healthcare Expense
2020-07-17,Shopping,330.06,Shopping Expense
2020-07-17,Utilities,173.44,Utilities Expense
2020-07-17,Fitness,85.63,Fitness Expense
2020-07-19,Coffee,9.47,Coffee Expense
2020-07-19,Electronics,1295.8,Electronics Expense
2020-07-19,Food,61.23,Food Expense
2020-07-20,Fitness,79.31,Fitness Expense
2020-07-20,Travel,489.4,Travel Expense
2020-07-21,Pets,66.83,Pets Expense
2020-07-21,Pets,60.05,Pets Expense
2020-07-21,Gifts,36.61,Gifts Expense
2020-07-22,Coffee,12.85,Coffee Expense
2020-07-22,Food,90.59,Food Expense
2020-07-22,Entertainment,206.48,Entertainment Expense
2020-07-23,Clothing,147.76,Clothing Expense
2020-07-23,Utilities,181.7,Utilities Expense
2020-07-24,Pets,54.33,Pets Expense
2020-07-25,Education,768.7,Education Expense
2020-07-27,Entertainment,172.66,Entertainment Expense
2020-07-27,Electronics,918.99,Electronics Expense
2020-07-28,Sports,35.74,Sports Expense
2020-07-28,Grocery,103.56,Grocery Expense
2020-07-29,Dining,87.17,Dining Expense
2020-07-29,Gifts,168.92,Gifts Expense
2020-07-29,Dining,72.02,Dining Expense
2020-07-30,Clothing,288.12,Clothing Expense
2020-07-30,Utilities,236.03,Utilities Expense
2020-07-30,Education,886.24,Education Expense
2020-07-31,Beauty,29.52,Beauty Expense
2020-08-01,Clothing,221.08,Clothing Expense
2020-08-02,Entertainment,276.16,Entertainment Expense
2020-08-02,Beauty,133.48,Beauty Expense
2020-08-02,Beauty,190.8,Beauty Expense
2020-08-03,Coffee,6.04,Coffee Expense
2020-08-03,Beauty,38.38,Beauty Expense
2020-08-03,Books,27.84,Books Expense
2020-08-04,Gifts,44.69,Gifts Expense
2020-08-06,Food,45.52,Food Expense
2020-08-07,Beauty,67.03,Beauty Expense
2020-08-07,Coffee,11.23,Coffee Expense
2020-08-08,Books,10.79,Books Expense
2020-08-08,Shopping,495.59,Shopping Expense
2020-08-10,Sports,169.56,Sports Expense
2020-08-11,Electronics,1239.11,Electronics Expense
2020-08-12,Dining,102.64,Dining Expense
2020-08-12,Food,127.9,Food Expense
2020-08-12,Electronics,680.13,Electronics Expense
2020-08-12,Travel,4433.7,Travel Expense
2020-08-14,Healthcare,488.66,Healthcare Expense
2020-08-15,Education,165.73,Education Expense
2020-08-16,Shopping,211.99,Shopping Expense
2020-08-16,Beauty,184.51,Beauty Expense
2020-08-17,Transportation,42.37,Transportation Expense
2020-08-17,Grocery,57.84,Grocery Expense
2020-08-18,Grocery,65.53,Grocery Expense
2020-08-18,Grocery,190.24,Grocery Expense
2020-08-19,Clothing,146.14,Clothing Expense
2020-08-19,Housing,2921.51,Housing Expense
2020-08-19,Grocery,68.26,Grocery Expense
2020-08-19,Education,684.35,Education Expense
2020-08-20,Electronics,444.97,Electronics Expense
2020-08-20,Electronics,557.29,Electronics Expense
2020-08-22,Pets,80.42,Pets Expense
2020-08-22,Utilities,266.05,Utilities Expense
2020-08-23,Travel,4161.13,Travel Expense
2020-08-25,Beauty,61.6,Beauty Expense
2020-08-26,Coffee,11.71,Coffee Expense
2020-08-26,Healthcare,403.2,Healthcare Expense
2020-08-29,Books,19.11,Books Expense
2020-08-29,Electronics,1735.41,Electronics Expense
2020-08-29,Dining,90.88,Dining Expense
2020-08-30,Gifts,186.12,Gifts Expense
2020-08-30,Food,24.54,Food Expense
2020-08-31,Dining,189.45,Dining Expense
2020-08-31,Utilities,97.51,Utilities Expense
2020-08-31,Education,78.01,Education Expense
2020-09-01,Healthcare,37.58,Healthcare Expense
2020-09-03,Electronics,1787.87,Electronics Expense
2020-09-03,Shopping,325.62,Shopping Expense
2020-09-03,Beauty,44.61,Beauty Expense
2020-09-03,Education,872.19,Education Expense
2020-09-04,Beauty,192.14,Beauty Expense
2020-09-04,Transportation,92.61,Transportation Expense
2020-09-04,Gifts,68.18,Gifts Expense
2020-09-04,Sports,61.94,Sports Expense
2020-09-08,Grocery,188.94,Grocery Expense
2020-09-08,Coffee,10.59,Coffee Expense
2020-09-11,Shopping,428.86,Shopping Expense
2020-09-12,Beauty,90.87,Beauty Expense
2020-09-12,Sports,165.58,Sports Expense
2020-09-13,Travel,4666.02,Travel Expense
2020-09-13,Entertainment,119.47,Entertainment Expense
2020-09-15,Fitness,131.8,Fitness Expense
2020-09-15,Food,125.85,Food Expense
2020-09-16,Utilities,184.11,Utilities Expense
2020-09-17,Books,38.12,Books Expense
2020-09-19,Books,13.54,Books Expense
2020-09-19,Fitness,44.43,Fitness Expense
2020-09-20,Healthcare,351.41,Healthcare Expense
2020-09-21,Dining,51.5,Dining Expense
2020-09-21,Grocery,135.09,Grocery Expense
2020-09-21,Gifts,139.13,Gifts Expense
2020-09-22,Beauty,81.7,Beauty Expense
2020-09-22,Beauty,56.06,Beauty Expense
2020-09-22,Food,119.94,Food Expense
2020-09-22,Healthcare,241.95,Healthcare Expense
2020-09-23,Utilities,72.08,Utilities Expense
2020-09-24,Gifts,84.56,Gifts Expense
2020-09-24,Gifts,122.49,Gifts Expense
2020-09-25,Clothing,100.62,Clothing Expense
2020-09-26,Entertainment,104.8,Entertainment Expense
2020-09-26,Coffee,14.92,Coffee Expense
2020-09-26,Food,93.88,Food Expense
2020-09-28,Pets,38.91,Pets Expense
2020-09-28,Healthcare,50.41,Healthcare Expense
2020-09-28,Clothing,272.92,Clothing Expense
2020-09-30,Books,38.58,Books Expense
2020-10-01,Food,95.54,Food Expense
2020-10-03,Clothing,175.72,Clothing Expense
2020-10-03,Sports,89.0,Sports Expense
2020-10-03,Entertainment,264.23,Entertainment Expense
2020-10-03,Electronics,1830.8,Electronics Expense
2020-10-04,Entertainment,53.99,Entertainment Expense
2020-10-05,Dining,139.97,Dining Expense
2020-10-08,Shopping,153.2,Shopping Expense
2020-10-08,Electronics,1601.2,Electronics Expense
2020-10-09,Pets,69.49,Pets Expense
2020-10-10,Fitness,40.42,Fitness Expense
2020-10-10,Shopping,70.26,Shopping Expense
2020-10-10,Coffee,6.16,Coffee Expense
2020-10-11,Coffee,4.01,Coffee Expense
2020-10-12,Education,345.07,Education Expense
2020-10-12,Entertainment,285.91,Entertainment Expense
2020-10-12,Healthcare,134.01,Healthcare Expense
2020-10-13,Healthcare,119.72,Healthcare Expense
2020-10-13,Travel,1116.61,Travel Expense
2020-10-13,Coffee,3.64,Coffee Expense
2020-10-15,Utilities,97.2,Utilities Expense
2020-10-16,Dining,55.17,Dining Expense
2020-10-17,Healthcare,67.31,Healthcare Expense
2020-10-19,Beauty,140.79,Beauty Expense
2020-10-19,Coffee,9.2,Coffee Expense
2020-10-19,Electronics,491.92,Electronics Expense
2020-10-20,Travel,3116.84,Travel Expense
2020-10-21,Food,80.23,Food Expense
2020-10-21,Entertainment,157.81,Entertainment Expense
2020-10-21,Travel,3589.03,Travel Expense
2020-10-23,Books,47.61,Books Expense
2020-10-23,Shopping,258.14,Shopping Expense
2020-10-24,Beauty,192.16,Beauty Expense
2020-10-25,Fitness,80.41,Fitness Expense
2020-10-25,Housing,2031.86,Housing Expense
2020-10-26,Housing,2855.55,Housing Expense
2020-10-26,Education,366.32,Education Expense
2020-10-27,Dining,100.85,Dining Expense
2020-10-27,Grocery,103.81,Grocery Expense
2020-10-27,Shopping,243.77,Shopping Expense
2020-10-28,Grocery,52.77,Grocery Expense
2020-10-29,Coffee,8.27,Coffee Expense
2020-10-29,Fitness,142.73,Fitness Expense
2020-10-30,Housing,1644.19,Housing Expense
2020-10-30,Fitness,95.97,Fitness Expense
2020-10-30,Healthcare,394.16,Healthcare Expense
2020-10-30,Entertainment,284.5,Entertainment Expense
2020-10-31,Pets,40.21,Pets Expense
2020-10-31,Entertainment,133.25,Entertainment Expense
2020-10-31,Education,325.75,Education Expense
2020-11-01,Fitness,69.02,Fitness Expense
2020-11-02,Education,792.76,Education Expense
2020-11-03,Beauty,189.83,Beauty Expense
2020-11-03,Beauty,51.26,Beauty Expense
2020-11-05,Pets,60.35,Pets Expense
2020-11-05,Entertainment,235.45,Entertainment Expense
2020-11-09,Education,517.72,Education Expense
2020-11-10,Utilities,195.51,Utilities Expense
2020-11-11,Coffee,14.09,Coffee Expense
2020-11-11,Shopping,71.97,Shopping Expense
2020-11-12,Education,147.21,Education Expense
2020-11-12,Fitness,94.2,Fitness Expense
2020-11-12,Education,978.07,Education Expense
2020-11-12,Travel,3022.44,Travel Expense
2020-11-12,Housing,1272.3,Housing Expense
2020-11-13,Grocery,154.39,Grocery Expense
2020-11-13,Shopping,316.22,Shopping Expense
2020-11-13,Food,73.43,Food Expense
2020-11-14,Shopping,107.82,Shopping Expense
2020-11-14,Entertainment,215.71,Entertainment Expense
2020-11-14,Grocery,92.02,Grocery Expense
2020-11-15,Shopping,53.1,Shopping Expense
2020-11-15,Books,17.43,Books Expense
2020-11-16,Entertainment,212.78,Entertainment Expense
2020-11-16,Clothing,286.34,Clothing Expense
2020-11-17,Fitness,72.1,Fitness Expense
2020-11-17,Pets,38.81,Pets Expense
2020-11-17,Housing,1435.87,Housing Expense
2020-11-18,Travel,3411.34,Travel Expense
2020-11-18,Food,62.36,Food Expense
2020-11-19,Shopping,282.11,Shopping Expense
2020-11-20,Shopping,334.52,Shopping Expense
2020-11-20,Sports,116.97,Sports Expense
2020-11-20,Pets,38.34,Pets Expense
2020-11-21,Gifts,35.68,Gifts Expense
2020-11-22,Transportation,53.89,Transportation Expense
2020-11-22,Beauty,196.94,Beauty Expense
2020-11-22,Fitness,121.26,Fitness Expense
2020-11-22,Education,549.63,Education Expense
2020-11-24,Grocery,171.34,Grocery Expense
2020-11-24,Travel,1987.99,Travel Expense
2020-11-24,Transportation,73.8,Transportation Expense
2020-11-24,Beauty,152.87,Beauty Expense
2020-11-24,Travel,3514.99,Travel Expense
2020-11-25,Dining,91.14,Dining Expense
2020-11-25,Food,139.85,Food Expense
2020-11-26,Electronics,1692.89,Electronics Expense
2020-11-26,Grocery,175.48,Grocery Expense
2020-11-26,Housing,1740.65,Housing Expense
2020-11-28,Utilities,200.35,Utilities Expense
2020-11-28,Housing,1423.06,Housing Expense
2020-11-28,Education,547.68,Education Expense
2020-11-30,Grocery,182.82,Grocery Expense
2020-11-30,Sports,76.5,Sports Expense
2020-11-30,Healthcare,168.86,Healthcare Expense
2020-12-01,Electronics,716.17,Electronics Expense
2020-12-02,Fitness,99.17,Fitness Expense
2020-12-02,Beauty,198.6,Beauty Expense
2020-12-03,Electronics,239.48,Electronics Expense
2020-12-03,Pets,57.54,Pets Expense
2020-12-05,Beauty,117.25,Beauty Expense
2020-12-05,Electronics,1466.02,Electronics Expense
2020-12-05,Sports,47.32,Sports Expense
2020-12-05,Travel,3286.82,Travel Expense
2020-12-06,Gifts,85.74,Gifts Expense
2020-12-06,Gifts,128.46,Gifts Expense
2020-12-06,Travel,2401.36,Travel Expense
2020-12-07,Coffee,13.84,Coffee Expense
2020-12-08,Coffee,9.47,Coffee Expense
2020-12-09,Coffee,7.75,Coffee Expense
2020-12-10,Sports,145.16,Sports Expense
2020-12-11,Healthcare,160.86,Healthcare Expense
2020-12-11,Housing,1511.07,Housing Expense
2020-12-12,Travel,2487.26,Travel Expense
2020-12-12,Pets,82.57,Pets Expense
2020-12-12,Transportation,36.84,Transportation Expense
2020-12-12,Beauty,104.61,Beauty Expense
2020-12-13,Fitness,114.1,Fitness Expense
2020-12-14,Electronics,886.35,Electronics Expense
2020-12-15,Beauty,40.81,Beauty Expense
2020-12-15,Coffee,4.4,Coffee Expense
2020-12-16,Books,27.0,Books Expense
2020-12-16,Healthcare,445.48,Healthcare Expense
2020-12-17,Dining,29.26,Dining Expense
2020-12-17,Pets,90.74,Pets Expense
2020-12-18,Food,145.04,Food Expense
2020-12-18,Coffee,6.34,Coffee Expense
2020-12-19,Coffee,9.24,Coffee Expense
2020-12-19,Grocery,80.87,Grocery Expense
2020-12-19,Education,979.75,Education Expense
2020-12-20,Travel,4670.98,Travel Expense
2020-12-20,Sports,167.0,Sports Expense
2020-12-21,Shopping,92.89,Shopping Expense
2020-12-21,Entertainment,253.05,Entertainment Expense
2020-12-21,Entertainment,147.4,Entertainment Expense
2020-12-24,Travel,2581.04,Travel Expense
2020-12-25,Sports,196.84,Sports Expense
2020-12-25,Food,11.51,Food Expense
2020-12-27,Electronics,1022.41,Electronics Expense
2020-12-27,Grocery,181.1,Grocery Expense
2020-12-27,Travel,1319.79,Travel Expense
2020-12-28,Gifts,74.02,Gifts Expense
2020-12-29,Coffee,5.64,Coffee Expense
2020-12-30,Travel,3607.49,Travel Expense
2020-12-31,Education,252.98,Education Expense
2020-12-31,Utilities,240.0,Utilities Expense
2020-12-31,Fitness,119.46,Fitness Expense
2021-01-01,Housing,1660.76,Housing Expense
2021-01-01,Food,96.08,Food Expense
2021-01-01,Pets,96.42,Pets Expense
2021-01-01,Food,75.35,Food Expense
2021-01-02,Beauty,55.06,Beauty Expense
2021-01-02,Transportation,23.74,Transportation Expense
2021-01-02,Housing,1584.34,Housing Expense
2021-01-02,Electronics,1430.94,Electronics Expense
2021-01-03,Grocery,179.7,Grocery Expense
2021-01-04,Dining,94.64,Dining Expense
2021-01-04,Transportation,66.93,Transportation Expense
2021-01-06,Transportation,19.49,Transportation Expense
2021-01-06,Books,45.04,Books Expense
2021-01-07,Food,56.7,Food Expense
2021-01-07,Healthcare,142.33,Healthcare Expense
2021-01-07,Healthcare,487.94,Healthcare Expense
2021-01-08,Gifts,58.74,Gifts Expense
2021-01-09,Education,182.81,Education Expense
2021-01-10,Fitness,74.57,Fitness Expense
2021-01-10,Utilities,175.4,Utilities Expense
2021-01-10,Books,32.7,Books Expense
2021-01-11,Travel,4057.58,Travel Expense
2021-01-11,Coffee,7.64,Coffee Expense
2021-01-11,Utilities,121.42,Utilities Expense
2021-01-13,Books,44.98,Books Expense
2021-01-13,Coffee,14.68,Coffee Expense
2021-01-13,Travel,3493.36,Travel Expense
2021-01-15,Entertainment,48.43,Entertainment Expense
2021-01-15,Books,36.29,Books Expense
2021-01-16,Transportation,14.26,Transportation Expense
2021-01-16,Healthcare,319.38,Healthcare Expense
2021-01-16,Clothing,225.44,Clothing Expense
2021-01-17,Grocery,92.31,Grocery Expense
2021-01-17,Coffee,12.19,Coffee Expense
2021-01-20,Dining,130.62,Dining Expense
2021-01-20,Pets,70.83,Pets Expense
2021-01-20,Clothing,64.97,Clothing Expense
2021-01-20,Transportation,27.14,Transportation Expense
2021-01-22,Fitness,59.89,Fitness Expense
2021-01-22,Dining,76.85,Dining Expense
2021-01-22,Travel,1688.23,Travel Expense
2021-01-23,Education,581.08,Education Expense
2021-01-24,Food,15.79,Food Expense
2021-01-26,Clothing,276.33,Clothing Expense
2021-01-27,Shopping,254.41,Shopping Expense
2021-01-28,Food,140.32,Food Expense
2021-01-28,Grocery,195.64,Grocery Expense
2021-01-29,Grocery,63.72,Grocery Expense
2021-01-29,Entertainment,231.3,Entertainment Expense
2021-01-29,Education,744.33,Education Expense
2021-01-30,Gifts,66.94,Gifts Expense
2021-01-31,Coffee,11.34,Coffee Expense
2021-02-01,Electronics,1719.03,Electronics Expense
2021-02-01,Sports,57.42,Sports Expense
2021-02-04,Grocery,170.58,Grocery Expense
2021-02-04,Entertainment,200.67,Entertainment Expense
2021-02-05,Grocery,85.3,Grocery Expense
2021-02-05,Food,60.08,Food Expense
2021-02-06,Education,826.0,Education Expense
2021-02-08,Transportation,9.09,Transportation Expense
2021-02-08,Clothing,207.9,Clothing Expense
2021-02-09,Sports,97.72,Sports Expense
2021-02-09,Fitness,116.36,Fitness Expense
2021-02-10,Travel,2522.4,Travel Expense
2021-02-10,Entertainment,135.21,Entertainment Expense
2021-02-11,Clothing,294.87,Clothing Expense
2021-02-12,Utilities,294.83,Utilities Expense
2021-02-13,Food,24.8,Food Expense
2021-02-14,Clothing,170.47,Clothing Expense
2021-02-14,Sports,24.32,Sports Expense
2021-02-16,Transportation,39.2,Transportation Expense
2021-02-16,Utilities,52.87,Utilities Expense
2021-02-16,Utilities,178.05,Utilities Expense
2021-02-18,Transportation,29.68,Transportation Expense
2021-02-18,Gifts,193.87,Gifts Expense
2021-02-18,Electronics,290.93,Electronics Expense
2021-02-19,Transportation,64.39,Transportation Expense
2021-02-19,Shopping,369.84,Shopping Expense
2021-02-19,Food,121.41,Food Expense
2021-02-20,Books,28.92,Books Expense
2021-02-20,Utilities,163.2,Utilities Expense
2021-02-20,Travel,222.18,Travel Expense
2021-02-20,Shopping,407.89,Shopping Expense
2021-02-21,Books,24.98,Books Expense
2021-02-21,Shopping,23.69,Shopping Expense
2021-02-21,Education,884.95,Education Expense
2021-02-21,Food,82.5,Food Expense
2021-02-23,Utilities,226.15,Utilities Expense
2021-02-23,Clothing,70.26,Clothing Expense
2021-02-23,Education,506.64,Education Expense
2021-02-24,Books,37.62,Books Expense
2021-02-24,Pets,28.11,Pets Expense
2021-02-24,Books,33.74,Books Expense
2021-02-26,Shopping,418.25,Shopping Expense
2021-02-26,Sports,177.13,Sports Expense
2021-02-27,Grocery,124.03,Grocery Expense
2021-02-27,Gifts,123.87,Gifts Expense
2021-03-01,Books,13.89,Books Expense
2021-03-02,Books,16.1,Books Expense
2021-03-03,Education,341.67,Education Expense
2021-03-03,Entertainment,27.27,Entertainment Expense
2021-03-03,Food,32.79,Food Expense
2021-03-04,Fitness,96.82,Fitness Expense
2021-03-05,Electronics,1576.04,Electronics Expense
2021-03-05,Dining,59.44,Dining Expense
2021-03-06,Sports,108.39,Sports Expense
2021-03-06,Electronics,278.9,Electronics Expense
2021-03-07,Transportation,54.05,Transportation Expense
2021-03-07,Beauty,145.15,Beauty Expense
2021-03-08,Clothing,73.57,Clothing Expense
2021-03-08,Sports,142.61,Sports Expense
2021-03-08,Dining,175.83,Dining Expense
2021-03-09,Electronics,1874.76,Electronics Expense
2021-03-10,Shopping,388.36,Shopping Expense
2021-03-11,Clothing,89.85,Clothing Expense
2021-03-12,Housing,2898.51,Housing Expense
2021-03-12,Shopping,477.0,Shopping Expense
2021-03-13,Coffee,9.87,Coffee Expense
2021-03-14,Entertainment,172.33,Entertainment Expense
2021-03-14,Books,46.57,Books Expense
2021-03-14,Coffee,14.35,Coffee Expense
2021-03-14,Grocery,178.37,Grocery Expense
2021-03-15,Coffee,7.83,Coffee Expense
2021-03-15,Grocery,79.92,Grocery Expense
2021-03-15,Books,44.54,Books Expense
2021-03-16,Coffee,4.74,Coffee Expense
2021-03-16,Gifts,31.05,Gifts Expense
2021-03-17,Grocery,99.37,Grocery Expense
2021-03-17,Healthcare,467.66,Healthcare Expense
2021-03-17,Gifts,70.42,Gifts Expense
2021-03-18,Dining,47.5,Dining Expense
2021-03-18,Healthcare,35.02,Healthcare Expense
2021-03-19,Clothing,187.71,Clothing Expense
2021-03-20,Housing,1116.56,Housing Expense
2021-03-20,Education,741.16,Education Expense
2021-03-20,Coffee,4.84,Coffee Expense
2021-03-20,Education,966.86,Education Expense
2021-03-21,Electronics,468.24,Electronics Expense
2021-03-22,Beauty,153.05,Beauty Expense
2021-03-22,Electronics,406.57,Electronics Expense
2021-03-23,Education,519.59,Education Expense
2021-03-23,Dining,148.91,Dining Expense
2021-03-24,Coffee,10.89,Coffee Expense
2021-03-26,Beauty,65.43,Beauty Expense
2021-03-26,Sports,23.92,Sports Expense
2021-03-27,Entertainment,80.38,Entertainment Expense
2021-03-27,Fitness,94.23,Fitness Expense
2021-03-28,Gifts,141.2,Gifts Expense
2021-03-28,Travel,885.04,Travel Expense
2021-03-28,Clothing,68.05,Clothing Expense
2021-03-29,Sports,59.76,Sports Expense
2021-03-30,Beauty,196.38,Beauty Expense
2021-03-30,Electronics,1747.69,Electronics Expense
2021-03-30,Gifts,165.68,Gifts Expense
2021-03-31,Healthcare,168.0,Healthcare Expense
2021-03-31,Beauty,184.27,Beauty Expense
2021-04-01,Gifts,179.48,Gifts Expense
2021-04-02,Pets,46.36,Pets Expense
2021-04-03,Grocery,116.46,Grocery Expense
2021-04-03,Food,69.71,Food Expense
2021-04-03,Electronics,1399.49,Electronics Expense
2021-04-04,Shopping,129.01,Shopping Expense
2021-04-07,Healthcare,250.57,Healthcare Expense
2021-04-07,Utilities,119.75,Utilities Expense
2021-04-07,Grocery,126.82,Grocery Expense
2021-04-08,Pets,10.67,Pets Expense
2021-04-08,Grocery,198.71,Grocery Expense
2021-04-08,Books,17.77,Books Expense
2021-04-09,Education,763.56,Education Expense
2021-04-10,Education,736.97,Education Expense
2021-04-10,Dining,95.39,Dining Expense
2021-04-11,Entertainment,218.25,Entertainment Expense
2021-04-11,Beauty,171.1,Beauty Expense
2021-04-11,Sports,74.06,Sports Expense
2021-04-12,Food,146.56,Food Expense
2021-04-13,Clothing,105.62,Clothing Expense
2021-04-13,Pets,14.75,Pets Expense
2021-04-14,Food,120.35,Food Expense
2021-04-14,Shopping,419.59,Shopping Expense
2021-04-14,Shopping,278.07,Shopping Expense
2021-04-15,Food,16.91,Food Expense
2021-04-15,Coffee,9.66,Coffee Expense
2021-04-15,Education,622.41,Education Expense
2021-04-17,Entertainment,64.68,Entertainment Expense
2021-04-20,Shopping,446.17,Shopping Expense
2021-04-20,Entertainment,40.21,Entertainment Expense
2021-04-21,Books,20.68,Books Expense
2021-04-22,Pets,87.09,Pets Expense
2021-04-23,Education,161.19,Education Expense
2021-04-23,Education,664.21,Education Expense
2021-04-23,Coffee,6.32,Coffee Expense
2021-04-23,Grocery,70.2,Grocery Expense
2021-04-23,Beauty,26.38,Beauty Expense
2021-04-24,Coffee,6.63,Coffee Expense
2021-04-24,Housing,2567.66,Housing Expense
2021-04-25,Electronics,519.08,Electronics Expense
